,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
63861,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-06-28,33 Terrorists Kill, Wounded in Three Provinces""",Bakhtar News Agency,2020-06-28,Shahjoy district,32.495924,67.394208,Afghanistan,Asia,2020-06-26,2020-06-28,0,5,0,0,5,5,5,1
63862,2020,State,Government of Afghanistan,Taleban,3,"""Xinhua News Agency,2020-07-25,2 soldiers, 45 militants killed in overnight clashes in Afghanistan"";""Bakhtar News Agency,2020-07-25,Taliban Rebels Killed in Ghazni Clash"";""Khaama Press,2020-07-25,Taliban militants suffer heavy casualties in Khost; at least 29 killed, wounded""",Xinhua News Agency;Bakhtar News Agency;Khaama Press,2020-07-25;2020-07-25;2020-07-25,Dowa Mandi village,33.4664,69.6168,Afghanistan,Asia,2020-07-24,2020-07-24,0,9,0,0,9,9,9,3
63863,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-02,Roundup: Over 50 killed in Afghanistan's skirmishes in 24 hours""",Xinhua News Agency,2020-07-02,Farah province,32.5,62.5,Afghanistan,Asia,2020-07-01,2020-07-02,0,6,0,0,6,5,6,2
63864,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-02,Roundup: Over 50 killed in Afghanistan's skirmishes in 24 hours""",Xinhua News Agency,2020-07-02,Hilmand province,31.0,64.0,Afghanistan,Asia,2020-07-01,2020-07-02,0,5,0,0,5,6,6,1
63865,2020,State,Government of Afghanistan,Taleban,1,"""Bakhtar News Agency,2020-07-23,Air Raids Leaves 12 Terrorists Dead in Kandahar & Zabul""",Bakhtar News Agency,2020-07-23,Arghandab district (Zabul),32.511956,66.987372,Afghanistan,Asia,2020-07-22,2020-07-22,0,6,0,0,6,6,6,1
63866,2020,State,Government of Afghanistan,Taleban,1,"""BBC Monitoring South Asia,2020-07-19,Dozens of Taliban said killed in army operations across Afghanistan""",BBC Monitoring South Asia,2020-07-19,Fayzabad district (Jawzjan),36.699898,66.330856,Afghanistan,Asia,2020-07-18,2020-07-19,0,4,0,0,4,5,4,0
63867,2020,State,Government of Afghanistan,Taleban,1,"""BBC Monitoring South Asia,2020-07-19,Dozens of Taliban said killed in army operations across Afghanistan""",BBC Monitoring South Asia,2020-07-19,Chahar Bolak district,36.837628,66.639315,Afghanistan,Asia,2020-07-18,2020-07-19,0,4,0,0,4,4,5,0
63869,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-16,Roundup: Over 100 killed as fighting gets momentum in Afghanistan""",Xinhua News Agency,2020-07-16,Hirat province,34.5,62.0,Afghanistan,Asia,2020-07-15,2020-07-16,0,7,0,0,7,7,6,2
63870,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-16,Roundup: Over 100 killed as fighting gets momentum in Afghanistan""",Xinhua News Agency,2020-07-16,Wardak province,34.25,68.0,Afghanistan,Asia,2020-07-15,2020-07-16,0,7,0,0,7,6,7,3
63871,2020,State,Government of Afghanistan,Taleban,1,"""Xinhua News Agency,2020-07-16,Roundup: Over 100 killed as fighting gets momentum in Afghanistan""",Xinhua News Agency,2020-07-16,Paktika province,32.416667,68.75,Afghanistan,Asia,2020-07-15,2020-07-16,0,6,0,0,6,7,7,3
