,Perpetrator ,Total health worker injured,Attack date,Health transportation stolen/highjacked,Health transportation damaged,Total number of attacks on facilities which reported destruction,Total health worker kidnapped,Health transportation destroyed,Total health worker arrested ,Total number of attacks on facilities which reported damage,Total health worker killed,Country
167,NoInformation,0.0,2018-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
168,NoInformation,0.0,2018-04-19 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Libya
169,NoInformation,0.0,2018-04-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Libya
170,NoInformation,0.0,2018-06-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Libya
171,NoInformation,0.0,2018-06-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
172,NoInformation,0.0,2018-07-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
173,NoInformation,0.0,2018-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
174,NoInformation,0.0,2018-09-01 00:00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
175,NoInformation,0.0,2018-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
176,NoInformation,0.0,2018-09-20 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
177,NoInformation,0.0,2018-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
178,NoInformation,0.0,2018-10-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
179,NoInformation,0.0,2018-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
180,NoInformation,1.0,2018-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
181,NoInformation,1.0,2018-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
182,NoInformation,1.0,2018-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
183,NoInformation,0.0,2018-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
184,NoInformation,1.0,2018-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
185,NoInformation,1.0,2018-11-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
186,NoInformation,0.0,2018-11-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
187,NoInformation,2.0,2018-11-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
188,NoInformation,0.0,2018-11-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
189,StateActor,0.0,2018-11-17 00:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Libya
190,NoInformation,0.0,2018-11-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
191,NoInformation,0.0,2018-11-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
192,NoInformation,0.0,2018-11-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
193,NoInformation,1.0,2018-12-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
194,StateActor,0.0,2018-12-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
195,NoInformation,0.0,2018-12-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Libya
196,NoInformation,0.0,2018-12-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya
